Tickersymbol,YahooTicker,YahooExchange,CompanyName,size_category,Exchange
ALFA,ALFA,US Markets (default),Yahoo Finance,Large Cap,
ALLEI,ALLEI.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ARION SDB,ARION-SDB.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ASKER,ASKER.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ASMDEE B,ASMDEE-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ASSA B,ASSA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
AZN,AZN,US Markets (default),Yahoo Finance,Large Cap,
ATCO A,ATCO-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ATCO B,ATCO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ATRLJ B,ATRLJ-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ALIV SDB,ALIV-SDB.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
AZA,AZA,US Markets (default),Yahoo Finance,Large Cap,
AXFO,AXFO.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BALD B,BALD-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BEIJ B,BEIJ-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BETS B,BETS-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BETCO,BETCO.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BILI A,BILI-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BILL,BILL,US Markets (default),Yahoo Finance,Large Cap,
BIOA B,BIOA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BIOT,BIOT.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BOL,BOL,US Markets (default),Yahoo Finance,Large Cap,
BONEX,BONEX.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
BRAV,BRAV,US Markets (default),Yahoo Finance,Large Cap,
BURE,BURE.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
CAMX,CAMX,US Markets (default),Yahoo Finance,Large Cap,
CAST,CAST,US Markets (default),Yahoo Finance,Large Cap,
CATE,CATE.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
CORE A,CORE-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
CORE B,CORE-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
CORE D,CORE-D.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
CORE PREF,CORE-PREF.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
DOM,DOM,US Markets (default),Yahoo Finance,Large Cap,
ELUX A,ELUX-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ELUX B,ELUX-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
EPRO B,EPRO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
EKTA B,EKTA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
EMBRAC B,EMBRAC-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ENGCON B,ENGCON-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
EPI A,EPI-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
EPI B,EPI-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
EQT,EQT,US Markets (default),Yahoo Finance,Large Cap,
ERIC A,ERIC-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ERIC B,ERIC-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ESSITY A,ESSITY-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
ESSITY B,ESSITY-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
EVO,EVO,US Markets (default),Yahoo Finance,Large Cap,
FABG,FABG.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
FPAR A,FPAR-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
FPAR D,FPAR-D.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
FOI B,FOI-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
FNOX,FNOX.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
